["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(300, 3)
2.0111986657092269e+14 1.9941868713133831e-02 1.1057587528545760e+01
2.0124625107023412e+14 1.9800397642579848e-02 1.1091693616623342e+01
2.0137263556954553e+14 1.9654033242243293e-02 1.1125536463524718e+01
2.0149902006885697e+14 1.9503659280504997e-02 1.1159120076992867e+01
2.0162540456816841e+14 1.9350086272422993e-02 1.1192457933506931e+01
2.0175178906747984e+14 1.9194006653703723e-02 1.1225572101363673e+01
2.0187817356679125e+14 1.9035957659488720e-02 1.1258491813570380e+01
2.0200455806610269e+14 1.8876294030718360e-02 1.1291251562741939e+01
2.0213094256541412e+14 1.8715172103621024e-02 1.1323888822704873e+01
2.0225732706472556e+14 1.8552546159013240e-02 1.1356441528484423e+01
2.0238371156403697e+14 1.8388177162303183e-02 1.1388945464331684e+01
2.0251009606334841e+14 1.8221653269974363e-02 1.1421431716050366e+01
2.0263648056265984e+14 1.8052420773167474e-02 1.1453924338226857e+01
2.0276286506197128e+14 1.7879823549690175e-02 1.1486438369916431e+01
2.0288924956128269e+14 1.7703148644669944e-02 1.1518978306317157e+01
2.0301563406059412e+14 1.7521675322567785e-02 1.1551537102431274e+01
2.0314201855990556e+14 1.7334724834393800e-02 1.1584095751487213e+01
2.0326840305921700e+14 1.7141708211617208e-02 1.1616623449447188e+01
2.0339478755852844e+14 1.6942169606388092e-02 1.1649078329753385e+01
2.0352117205783984e+14 1.6735823013470302e-02 1.1681408730902255e+01
2.0364755655715128e+14 1.6522580597641660e-02 1.1713554943479240e+01
2.0377394105646272e+14 1.6302571281205002e-02 1.1745451371862696e+01
2.0390032555577416e+14 1.6076148695894042e-02 1.1777029037162007e+01
2.0402671005508556e+14 1.5843888056955784e-02 1.1808218339965203e+01
2.0415309455439700e+14 1.5606571968132232e-02 1.1838951992289861e+01
2.0427947905370844e+14 1.5365165613321168e-02 1.1869168016438428e+01
2.0440586355301988e+14 1.5120782236381929e-02 1.1898812693959462e+01
2.0453224805233131e+14 1.4874640255196697e-02 1.1927843331628390e+01
2.0465863255164272e+14 1.4628013794708225e-02 1.1956230695682027e+01
2.0478501705095416e+14 1.4382178843188976e-02 1.1983960954255316e+01
2.0491140155026559e+14 1.4138357609077078e-02 1.2011036965850955e+01
2.0503778604957703e+14 1.3897663946947355e-02 1.2037478763633585e+01
2.0516417054888844e+14 1.3661052882652052e-02 1.2063323115474867e+01
2.0529055504819988e+14 1.3429277252300519e-02 1.2088622089753560e+01
2.0541693954751131e+14 1.3202854237097033e-02 1.2113440625349714e+01
2.0554332404682275e+14 1.2982044105323644e-02 1.2137853185396683e+01
2.0566970854613416e+14 1.2766842773370366e-02 1.2161939658665101e+01
2.0579609304544559e+14 1.2556988913821711e-02 1.2185780748144373e+01
2.0592247754475703e+14 1.2351985348452806e-02 1.2209453141618207e+01
2.0604886204406847e+14 1.2151133467954977e-02 1.2233024784663087e+01
2.0617524654337988e+14 1.1953578526582295e-02 1.2256550568475522e+01
2.0630163104269131e+14 1.1758362961699190e-02 1.2280068705192056e+01
2.0642801554200275e+14 1.1564484450219780e-02 1.2303597999502090e+01
2.0655440004131419e+14 1.1370955259702779e-02 1.2327136148486133e+01
2.0668078454062562e+14 1.1176859565394597e-02 1.2350659123967263e+01
2.0680716903993703e+14 1.0981405737426722e-02 1.2374121623500342e+01
2.0693355353924847e+14 1.0783971086693874e-02 1.2397458524385753e+01
2.0705993803855991e+14 1.0584137122929577e-02 1.2420587242053283e+01
2.0718632253787134e+14 1.0381713960699640e-02 1.2443410878137431e+01
2.0731270703718275e+14 1.0176753063175031e-02 1.2465822039591695e+01
2.0743909153649419e+14 9.9695480141506494e-03 1.2487707211579696e+01
2.0756547603580562e+14 9.7606234509001778e-03 1.2508951566346182e+01
2.0769186053511706e+14 9.5507126845079220e-03 1.2529444081386041e+01
2.0781824503442850e+14 9.3407249023913022e-03 1.2549082818325683e+01
2.0794462953373991e+14 9.1317032140005982e-03 1.2567780177252450e+01
2.0807101403305134e+14 8.9247751865680278e-03 1.2585467891869319e+01
2.0819739853236278e+14 8.7210979324212085e-03 1.2602101475594113e+01
2.0832378303167422e+14 8.5218002421282007e-03 1.2617663779278583e+01
2.0845016753098562e+14 8.3279246737027017e-03 1.2632167293553270e+01
2.0857655203029706e+14 8.1403728451347676e-03 1.2645654840592940e+01
2.0870293652960850e+14 7.9598573534942433e-03 1.2658198366797391e+01
2.0882932102891994e+14 7.7868636693103942e-03 1.2669895676898735e+01
2.0895570552823134e+14 7.6216249572665460e-03 1.2680865135857978e+01
2.0908209002754278e+14 7.4641120222548518e-03 1.2691238586070156e+01
2.0920847452685422e+14 7.3140395061774945e-03 1.2701152948540992e+01
2.0933485902616566e+14 7.1708881702114710e-03 1.2710741155851604e+01
2.0946124352547706e+14 7.0339417503122925e-03 1.2720123164685083e+01
2.0958762802478850e+14 6.9023356586211592e-03 1.2729397795117869e+01
2.0971401252409994e+14 6.7751138878674178e-03 1.2738636044470994e+01
2.0984039702341138e+14 6.6512899705424219e-03 1.2747876349025903e+01
2.0996678152272281e+14 6.5299077787459294e-03 1.2757122055855143e+01
2.1009316602203422e+14 6.4100982754908579e-03 1.2766341160546389e+01
2.1021955052134566e+14 6.2911289369347052e-03 1.2775468197671787e+01
2.1034593502065709e+14 6.1724433280229331e-03 1.2784408057092369e+01
2.1047231951996853e+14 6.0536891099961243e-03 1.2793041441505130e+01
2.1059870401927994e+14 5.9347334977066625e-03 1.2801231666210633e+01
2.1072508851859138e+14 5.8156658208201690e-03 1.2808832509911008e+01
2.1085147301790281e+14 5.6967873701496237e-03 1.2815696832082855e+01
2.1097785751721425e+14 5.5785891559919564e-03 1.2821685657539945e+01
2.1110424201652569e+14 5.4617186168272863e-03 1.2826677378819760e+01
2.1123062651583709e+14 5.3469367456986825e-03 1.2830576639168093e+01
2.1135701101514853e+14 5.2350675887437572e-03 1.2833322344178306e+01
2.1148339551445997e+14 5.1269426281058249e-03 1.2834894135071176e+01
2.1160978001377138e+14 5.0233431586181789e-03 1.2835316582088524e+01
2.1173616451308281e+14 4.9249443236363813e-03 1.2834660371443370e+01
2.1186254901239425e+14 4.8322648590888523e-03 1.2833039907652157e+01
2.1198893351170569e+14 4.7456266546256100e-03 1.2830607055807292e+01
2.1211531801101712e+14 4.6651278397106880e-03 1.2827541186116170e+01
2.1224170251032856e+14 4.5906321772255258e-03 1.2824036188344328e+01
2.1236808700963997e+14 4.5217761480834985e-03 1.2820285591592457e+01
2.1249447150895141e+14 4.4579934151057383e-03 1.2816467241906688e+01
2.1262085600826284e+14 4.3985546362041916e-03 1.2812729074063006e+01
2.1274724050757425e+14 4.3426191473109384e-03 1.2809177344624619e+01
2.1287362500688569e+14 4.2892940861748823e-03 1.2805868321293747e+01
2.1300000950619712e+14 4.2376961818532790e-03 1.2802803949867512e+01
2.1312639400550856e+14 4.1870116542815717e-03 1.2799931559375890e+01
2.1325277850482000e+14 4.1365503051821887e-03 1.2797147308863895e+01
2.1337916300413141e+14 4.0857907364673244e-03 1.2794302870203012e+01
2.1350554750344284e+14 4.0344145164404113e-03 1.2791214775297298e+01
2.1363193200275428e+14 3.9823278928322941e-03 1.2787675891042436e+01
2.1375831650206572e+14 3.9296702621293015e-03 1.2783468560197717e+01
2.1388470100137712e+14 3.8768090560855734e-03 1.2778378997401166e+01
2.1401108550068856e+14 3.8243210621963820e-03 1.2772212503795618e+01
2.1413747000000000e+14 3.7729605569662952e-03 1.2764808928234226e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(300, 3)
1.7634850470588234e+14 3.6177816714609921e-02 1.7265883485990539e+00
1.7647488920519378e+14 3.6127445275013506e-02 1.8107970337000099e+00
1.7660127370450522e+14 3.6189361450919180e-02 1.8904657670979330e+00
1.7672765820381662e+14 3.6399408090556494e-02 1.9668388780004686e+00
1.7685404270312806e+14 3.6778320667001388e-02 2.0413288658197093e+00
